"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 25 13:26:01 KRAT 2024","Tue Jun 25 13:26:12 KRAT 2024","11391","","tests.UserRegistrationTests","","tests.UserRegistrationTests","testSuccessfulRegistration","Тест успешной регистрации пользователя","Этот тест проверяет, что пользователь может успешно зарегистрироваться с валидными данными."
"failed","Tue Jun 25 00:07:55 KRAT 2024","Tue Jun 25 00:08:08 KRAT 2024","12481","","tests.UserLoginTests","","tests.UserLoginTests","SuccessfulAuthenticationTest","SuccessfulAuthenticationTest()",""
"passed","Mon Jun 24 16:44:04 KRAT 2024","Mon Jun 24 16:44:12 KRAT 2024","8098","","tests.ProductCatalogTests","","tests.ProductCatalogTests","setSortByPrice","setSortByPrice()",""
"broken","Tue Jun 25 00:13:18 KRAT 2024","Tue Jun 25 00:13:59 KRAT 2024","40660","","tests.SubscribeTests","","tests.SubscribeTests","newsletterSubscriptionTest","newsletterSubscriptionTest()",""
"broken","Tue Jun 25 00:05:51 KRAT 2024","Tue Jun 25 00:06:22 KRAT 2024","31196","","tests.UserLoginTests","","tests.UserLoginTests","successfulAuthenticationTest","successfulAuthenticationTest()",""
"broken","Tue Jun 25 00:04:34 KRAT 2024","Tue Jun 25 00:05:05 KRAT 2024","30994","","tests.UserLoginTests","","tests.UserLoginTests","loginWithIncorrectPasswordTest","loginWithIncorrectPasswordTest()",""
"passed","Mon Jun 24 17:05:37 KRAT 2024","Mon Jun 24 17:05:43 KRAT 2024","6530","","tests.ProductCatalogTests","","tests.ProductCatalogTests","searchInvalidProduct","searchInvalidProduct()",""
"passed","Mon Jun 24 17:06:14 KRAT 2024","Mon Jun 24 17:06:21 KRAT 2024","7749","","tests.ProductCatalogTests","","tests.ProductCatalogTests","setPriceFilter","setPriceFilter()",""
"failed","Mon Jun 24 16:19:06 KRAT 2024","Mon Jun 24 16:19:13 KRAT 2024","7355","","tests.CartTests","","tests.CartTests","addToCart","addToCart()",""
"passed","Tue Jun 25 13:25:21 KRAT 2024","Tue Jun 25 13:25:30 KRAT 2024","8893","","tests.UserRegistrationTests","","tests.UserRegistrationTests","testRegistrationWithExistingEmail","Тест регистрации с существующим email","Этот тест проверяет, что при регистрации с уже существующим email показывается соответствующее сообщение об ошибке."
"passed","Mon Jun 24 17:39:56 KRAT 2024","Mon Jun 24 17:40:06 KRAT 2024","10376","","tests.CartTests","","tests.CartTests","addToCartTest","addToCartTest()",""
"failed","Tue Jun 25 00:10:52 KRAT 2024","Tue Jun 25 00:11:18 KRAT 2024","25239","","tests.CartTests","","tests.CartTests","buyProduct","buyProduct()",""
"passed","Mon Jun 24 17:05:55 KRAT 2024","Mon Jun 24 17:06:02 KRAT 2024","7640","","tests.ProductCatalogTests","","tests.ProductCatalogTests","sortByHighPriceTest","sortByHighPriceTest()",""
"passed","Mon Jun 24 17:05:09 KRAT 2024","Mon Jun 24 17:05:18 KRAT 2024","9028","","tests.ProductCatalogTests","","tests.ProductCatalogTests","sortByLowPriceTest","sortByLowPriceTest()",""
